iter	Passed	Remaining
820	2562	558
821	2565	555
822	2569	552
823	2572	549
824	2575	546
825	2578	543
826	2582	540
827	2585	537
828	2588	533
829	2592	530
830	2595	527
831	2598	524
832	2602	521
833	2605	518
834	2608	515
835	2611	512
836	2614	509
837	2618	506
838	2621	503
839	2625	500
840	2628	497
841	2632	493
842	2635	490
843	2638	487
844	2642	484
845	2645	481
846	2648	478
847	2651	475
848	2654	472
849	2658	469
850	2661	465
851	2664	462
852	2667	459
853	2670	456
854	2673	453
855	2677	450
856	2680	447
857	2683	444
858	2686	440
859	2689	437
860	2693	434
861	2696	431
862	2700	428
863	2703	425
864	2706	422
865	2710	419
866	2713	416
867	2716	413
868	2719	409
869	2722	406
870	2726	403
871	2729	400
872	2732	397
873	2736	394
874	2740	391
875	2744	388
876	2747	385
877	2751	382
878	2754	379
879	2758	376
880	2761	373
881	2764	369
882	2767	366
883	2770	363
884	2774	360
885	2777	357
886	2780	354
887	2783	351
888	2786	347
889	2789	344
890	2792	341
891	2795	338
892	2798	335
893	2801	332
894	2804	329
895	2808	325
896	2811	322
897	2813	319
898	2816	316
899	2820	313
900	2823	310
901	2826	307
902	2829	303
903	2833	300
904	2835	297
905	2839	294
906	2842	291
907	2844	288
908	2848	285
909	2851	281
910	2854	278
911	2857	275
912	2861	272
913	2864	269
914	2867	266
915	2870	263
916	2873	260
917	2875	256
918	2878	253
919	2881	250
920	2884	247
921	2887	244
922	2890	241
923	2893	238
924	2896	234
925	2899	231
926	2902	228
927	2905	225
928	2907	222
929	2910	219
930	2913	215
931	2916	212
932	2919	209
933	2922	206
934	2924	203
935	2927	200
936	2930	197
937	2933	193
938	2936	190
939	2939	187
940	2942	184
941	2944	181
942	2947	178
943	2950	175
944	2953	171
945	2956	168
946	2959	165
947	2962	162
948	2965	159
949	2967	156
950	2970	153
951	2973	149
952	2975	146
953	2978	143
954	2981	140
955	2984	137
956	2987	134
957	2989	131
958	2992	127
959	2994	124
960	2997	121
961	3000	118
962	3003	115
963	3006	112
964	3008	109
965	3011	105
966	3014	102
967	3017	99
968	3019	96
969	3022	93
970	3025	90
971	3027	87
972	3030	84
973	3033	80
974	3036	77
975	3038	74
976	3041	71
977	3044	68
978	3047	65
979	3049	62
980	3052	59
981	3055	56
982	3058	52
983	3061	49
984	3064	46
985	3067	43
986	3069	40
987	3072	37
988	3074	34
989	3077	31
990	3079	27
991	3082	24
992	3085	21
993	3088	18
994	3090	15
995	3093	12
996	3095	9
997	3098	6
998	3101	3
999	3103	0
